"","session","nt"
"1","230510_1",6140
"2","230510_2",6000
"3","230511_1",6060
"4","230511_2",6400
"5","230511_3",4840
"6","230511_4",6000
"7","230512_1",5540
"8","230512_2",6340
"9","230512_3",6220
"10","230512_4",5480
"11","230513_1",5920
"12","230513_2",6920
"13","230513_3",7500
"14","230514_1",6720
"15","230514_2",6515
"16","230618_1",5780
"17","230618_2",5860
"18","230618_3",6060
"19","230618_4",6000
"20","230618_5",5940
"21","230619_2",6000
"22","230619_3",6020
"23","230620_1",6000
"24","230620_2",6400
"25","230620_3",6340
"26","230620_4",6260
"27","230620_5",6060
"28","230621_1",5860
"29","230621_2",5880
"30","230621_3",5820
