session,F_number,date,Month,day,time,altitude,use,category,Fly,G,n_total
230510_1,1,2023/5/10,5,10,9:32:00,139,TRUE,sahi,454,18244,18698
230510_2,2,2023/5/10,5,10,10:29:00,139,TRUE,sahi,239,18502,18741
230511_1,3,2023/5/11,5,11,8:58:00,139,TRUE,sahi,356,17049,17405
230511_2,4,2023/5/11,5,11,9:59:00,139,TRUE,sahi,366,18655,19021
230511_3,5,2023/5/11,5,11,10:58:00,139,TRUE,sahi,184,15753,15937
230511_4,6,2023/5/11,5,11,11:58:00,139,TRUE,sahi,298,17468,17766
230512_1,7,2023/5/12,5,12,8:58:00,139,TRUE,sahi,376,17016,17392
230512_2,8,2023/5/12,5,12,9:58:00,139,TRUE,sahi,296,17113,17409
230512_3,9,2023/5/12,5,12,10:58:00,139,TRUE,sahi,285,17060,17345
230512_4,10,2023/5/12,5,12,12:02:00,139,TRUE,sahi,346,15686,16032
230513_1,11,2023/5/13,5,13,8:59:00,139,TRUE,sahi,357,15962,16319
230513_2,12,2023/5/13,5,13,10:00:00,139,TRUE,sahi,446,17376,17822
230513_3,13,2023/5/13,5,13,10:58:00,139,TRUE,sahi,406,17536,17942
230514_1,14,2023/5/14,5,14,9:15:00,149,TRUE,sahi,320,15644,15964
230514_2,15,2023/5/14,5,14,10:17:00,149,TRUE,sahi,323,15621,15944
230618_1,16,2023/6/18,6,18,9:59:00,139,TRUE,sahi,383,13721,14104
230618_2,17,2023/6/18,6,18,10:26:00,139,TRUE,sahi,353,14200,14553
230618_3,18,2023/6/18,6,18,10:55:00,139,TRUE,sahi,411,14551,14962
230618_4,19,2023/6/18,6,18,11:26:00,139,TRUE,sahi,642,13514,14156
230618_5,20,2023/6/18,6,18,11:56:00,139,TRUE,sahi,493,13348,13841
230619_2,22,2023/6/19,6,19,10:04:00,139,TRUE,sahi,378,14693,15071
230619_3,23,2023/6/19,6,19,10:36:00,139,TRUE,sahi,458,15032,15490
230620_1,24,2023/6/19,6,20,8:32:00,139,TRUE,sahi,356,13369,13725
230620_2,25,2023/6/20,6,20,9:04:00,139,TRUE,sahi,424,14716,15140
230620_3,26,2023/6/20,6,20,9:34:00,139,TRUE,sahi,371,15885,16256
230620_4,27,2023/6/20,6,20,10:03:00,139,TRUE,sahi,396,16074,16470
230620_5,28,2023/6/20,6,20,10:34:00,139,TRUE,sahi,331,15785,16116
230621_1,29,2023/6/21,6,21,8:33:00,139,TRUE,sahi,424,13944,14368
230621_2,30,2023/6/21,6,21,9:02:00,139,TRUE,sahi,502,14445,14947
230621_3,31,2023/6/21,6,21,9:33:00,139,TRUE,sahi,440,14197,14637
